Iteration,Best Distance
0,30552.0
1,29433.0
2,28342.0
3,27286.0
4,26250.0
5,25243.0
6,24381.0
7,23548.0
8,22718.0
9,21898.0
10,21088.0
11,20355.0
12,19549.0
13,18825.0
14,18181.0
15,17561.0
16,17041.0
17,16508.0
18,16009.0
19,15523.0
20,15053.0
21,14577.0
22,14049.0
23,13592.0
24,13183.0
25,12776.0
26,12377.0
27,12055.0
28,11742.0
29,11444.0
30,11200.0
31,10858.0
32,10549.0
33,10299.0
34,10060.0
35,9828.0
36,9605.0
37,9391.0
38,9213.0
39,8983.0
40,8784.0
41,8630.0
42,8481.0
43,8345.0
44,8219.0
45,8088.0
46,7958.0
47,7851.0
48,7704.0
49,7594.0
50,7488.0
51,7280.0
52,7205.0
53,7125.0
54,7011.0
55,6914.0
56,6840.0
57,6779.0
58,6719.0
59,6658.0
60,6600.0
61,6549.0
62,6499.0
63,6454.0
64,6415.0
65,6377.0
66,6341.0
67,6309.0
68,6280.0
69,6229.0
70,6201.0
71,6173.0
72,6150.0
73,6058.0
74,6028.0
75,6002.0
76,5968.0
77,5940.0
78,5919.0
79,5899.0
80,5880.0
81,5861.0
82,5844.0
83,5828.0
84,5814.0
85,5801.0
86,5771.0
87,5760.0
88,5749.0
89,5723.0
90,5712.0
91,5702.0
92,5693.0
93,5686.0
94,5679.0
95,5676.0
96,5669.0
97,5657.0
98,5654.0
99,5653.0
100,5630.0
101,5629.0
102,5629.0
