Iteration,Best Distance
0,105536.0
1,101442.0
2,97263.0
3,93434.0
4,89740.0
5,86329.0
6,83215.0
7,80149.0
8,77122.0
9,74138.0
10,71110.0
11,68322.0
12,66084.0
13,63430.0
14,61229.0
15,59090.0
16,57076.0
17,55128.0
18,53223.0
19,51432.0
20,49663.0
21,47819.0
22,46104.0
23,44423.0
24,42922.0
25,41265.0
26,39942.0
27,38638.0
28,37409.0
29,36017.0
30,34824.0
31,33690.0
32,32382.0
33,31330.0
34,30386.0
35,29476.0
36,28609.0
37,27773.0
38,27029.0
39,26316.0
40,25662.0
41,25029.0
42,24419.0
43,23837.0
44,23289.0
45,22821.0
46,22393.0
47,21982.0
48,21592.0
49,21207.0
50,20673.0
51,20342.0
52,19933.0
53,19608.0
54,19335.0
55,19074.0
56,18857.0
57,18651.0
58,18287.0
59,18091.0
60,17906.0
61,17734.0
62,17497.0
63,17331.0
64,17109.0
65,16943.0
66,16621.0
67,16464.0
68,16328.0
69,16172.0
70,16040.0
71,15847.0
72,15718.0
73,15591.0
74,15466.0
75,15366.0
76,15270.0
77,15190.0
78,15113.0
79,15047.0
80,14981.0
81,14928.0
82,14876.0
83,14826.0
84,14783.0
85,14671.0
86,14633.0
87,14597.0
88,14566.0
89,14467.0
90,14437.0
91,14408.0
92,14380.0
93,14352.0
94,14325.0
95,14216.0
96,14192.0
97,14172.0
98,14152.0
99,14132.0
100,14113.0
101,14087.0
102,14076.0
103,14048.0
104,14038.0
105,14030.0
106,14027.0
107,13994.0
108,13994.0
