Iteration,Best Distance
0,66631.0
1,62060.0
2,57592.0
3,53855.0
4,50376.0
5,47175.0
6,44265.0
7,41538.0
8,38946.0
9,36558.0
10,34181.0
11,31994.0
12,29862.0
13,28002.0
14,26393.0
15,25092.0
16,23806.0
17,22822.0
18,21918.0
19,21100.0
20,20320.0
21,19651.0
22,19008.0
23,18372.0
24,17812.0
25,17398.0
26,16992.0
27,16622.0
28,16303.0
29,16074.0
30,15848.0
31,15637.0
32,15268.0
33,15059.0
34,14810.0
35,14646.0
36,14518.0
37,14397.0
38,14309.0
39,14262.0
40,14225.0
41,14196.0
42,14183.0
43,14183.0
